class	n	total	percentage
DNA/DTC	101	81599	0.003673324543956346
DNA/DTH	1	4022	1.8105750457471812e-4
DNA/DTM	4	2566	1.1551306731445218e-4
DNA/Helitron	4	14140	6.365373233929672e-4
LINE/unknown	122	93950	0.0042293268410727915
LTR/Gypsy	632	1882617	0.08474936252857834
LTR/unknown	702	1125097	0.05064824843970702
Low_complexity	1544	78424	0.0035303962552878402
MITE/DTM	35	9017	4.0591633981855625e-4
Simple_repeat	7546	311031	0.014001615292237481
TIR/Tc1_Mariner	19	9212	4.146946126659133e-4
Unknown	1561	1286925	0.05793322453376905
