class	n	total	percentage
DNA/DTC	6	4568	1.6717766011661812e-4
DNA/DTM	1	4311	1.5777208685699228e-4
DNA/Helitron	3	2937	1.0748703760124943e-4
LTR/Copia	24	2742	1.0035051314355669e-4
LTR/Gypsy	102	14166	5.18441053680388e-4
LTR/Solo	1	53	1.939670750039571e-6
LTR/TRIM	1	79	2.891207344398606e-6
LTR/unknown	910	466897	0.01708729158832501
Low_complexity	1840	90200	0.003301100031199421
MITE/DTM	42	6690	2.4483768524084397e-4
Simple_repeat	9002	348226	0.012744222388741126
Unknown	2641	753586	0.02757940984602491
