class	n	total	percentage
DNA/DTC	103	33137	0.0013197256267442198
DNA/DTM	326	430157	0.017131581507783242
DNA/Helitron	2942	385581	0.015356282309372091
LINE/unknown	645	419710	0.016715515671328618
LTR/Copia	111	205333	0.008177663099142073
LTR/Gypsy	1468	3061760	0.12193871306818306
LTR/unknown	3948	3840254	0.1529432844556537
Low_complexity	1512	81326	0.003238917413181652
MITE/DTC	22	2540	1.0115891878958017e-4
MITE/DTM	37	6969	2.775498051356631e-4
MITE/DTT	3	553	2.2023969327022768e-5
Simple_repeat	6634	279306	0.011123737390331685
Unknown	1732	676133	0.02692790678659654
