class	n	total	percentage
DNA/DTC	682	463801	0.013617810084104624
DNA/DTH	16	3085	9.057967557090814e-5
DNA/DTM	124	17512	5.141754549749573e-4
DNA/Helitron	240	111727	0.0032804523217215085
LINE/unknown	680	600866	0.01764221955967238
LTR/Copia	199	175273	0.0051462468318767525
LTR/Gypsy	2840	2744065	0.08056937356417634
LTR/unknown	5760	3904148	0.1146309430213322
Low_complexity	2151	98032	0.002878349029357299
MITE/DTM	27	3322	9.753830866987255e-5
MITE/DTT	3	335	9.83604256604675e-6
Satellite	1	578	1.697084359156723e-5
Simple_repeat	9319	351689	0.010326053653762435
TIR/Tc1_Mariner	41	17935	5.265952937971596e-4
Unknown	3970	1096918	0.032206961610336926
