class	n	total	percentage
DNA/DTC	61	18243	6.358652024327743e-4
DNA/DTM	275	46477	0.0016199696877414928
DNA/DTT	1	738	2.572320996521337e-5
DNA/Helitron	368	63458	0.002211847504027791
LTR/Copia	30	5764	2.0090593799388867e-4
LTR/Gypsy	46	10962	3.820837772881693e-4
LTR/TRIM	1	80	2.7884238444675736e-6
LTR/unknown	188	66307	0.0023111502481888927
Low_complexity	1881	93540	0.0032603645801437104
MITE/DTM	1	426	1.484835697178983e-5
Simple_repeat	9707	361050	0.012584505363062718
TIR/Tc1_Mariner	34	7513	2.61867854293561e-4
Unknown	6400	919897	0.03206328411567735
