class	n	total	percentage
DNA/DTC	10	8138	2.8520203750186004e-4
DNA/DTM	476	76831	0.0026925974125467447
DNA/DTT	1	738	2.5863738470923164e-05
DNA/Helitron	367	64087	0.0022459748067561692
LINE/unknown	31	26670	9.346692479939307e-4
LTR/Copia	36	5643	1.97762975869132e-4
LTR/Gypsy	46	13202	4.626735437576255e-4
LTR/TRIM	1	80	2.8036572868209395e-6
LTR/unknown	217	75665	0.0026517341075913297
Low_complexity	1894	94184	0.0033007457237742917
MITE/DTH	1	224	7.85024040309863e-6
MITE/DTM	15	2234	7.829212973447472e-5
Simple_repeat	10042	374917	0.013139234737538077
TIR/Tc1_Mariner	99	25215	8.836777310898748e-4
Unknown	6577	953204	0.03340571675533583
