TE_Fam,Aspergillus_fumigatus_Af293,Blastomyces_parvus_UAMH130,Emmonsia_crescens_UAMH4076,Histoplasma_capsulatum_G184AR,Histoplasma_capsulatum_G186AR,Histoplasma_capsulatum_WU24,Histoplasma_capsulatum_var.duboisii_H88,Histoplasma_ohiense_G217B
DNA,0,0,0,0,80,0,64,0,72
DNA/Academ,0,0,0,0,0,0,1202,0,0
DNA/Crypton,0,0,0,0,0,125,66,0,37
DNA/IS3EU,0,0,0,0,92,0,0,0,0
DNA/PIF-Harbinger,0,0,0,0,0,0,115,0,0
DNA/PiggyBac,0,0,0,0,0,81,368,153,41
DNA/TcMar-Ant1,0,0,0,0,66,0,98,60,35
DNA/TcMar-Fot1,0,118,0,0,0,0,517,227,23
DNA/TcMar-ISRm11,0,0,0,0,0,62,152,0,0
DNA/TcMar-Mariner,0,0,0,0,0,0,0,41,0
DNA/TcMar-Tc1,0,0,0,0,60,0,37,65,27
DNA/hAT-Ac,0,0,0,0,0,0,0,0,484
LINE/CRE-Ambal,0,0,0,0,0,0,0,0,42
LINE/I,0,0,0,0,128,0,0,0,0
LINE/L1,0,0,0,0,67,0,0,144,0
LINE/R2,0,0,0,0,0,0,0,0,48
LINE/Tad1,0,0,0,722,0,154,747,1164,1041
LTR/Copia,0,0,28,170,202,219,742,509,364
LTR/Gypsy,0,273,344,1302,2402,2072,1112,3567,5253
RC/Helitron,0,0,0,0,0,0,66,0,178
Unknown,0,75,243,1182,2166,2301,3623,2565,2090
tRNA,0,25,0,0,0,0,0,0,0
