class	n	total	percentage
DNA/DTA	10	3995	1.6778950535653822e-4
DNA/DTC	29	16085	6.755680084255111e-4
DNA/DTH	502	73591	0.003090812888283605
DNA/DTM	2	1853	7.782577056962836e-5
DNA/Helitron	20	16223	6.813639913389536e-4
LINE/unknown	87	35647	0.0014971695863440595
LTR/Gypsy	462	101498	0.00426290343296068
LTR/unknown	624	299675	0.012586312895549585
Low_complexity	1836	91050	0.003824088726586434
MITE/DTC	1	451	1.894194415914862e-5
MITE/DTM	21	3347	1.4057358558906968e-4
Simple_repeat	10465	390790	0.016413131614088
TIR/PiggyBac	45	11488	4.824945776059852e-4
Unknown	3381	719114	0.03020269896244346
