class	n	total	percentage
DNA/DTA	10	3992	1.5486996199323537e-4
DNA/DTC	43	33458	0.001298005808709837
DNA/DTH	483	76207	0.0029564567118282787
DNA/DTM	73	20172	7.825743670660181e-4
DNA/Helitron	490	100620	0.0039035610159717797
LINE/unknown	73	32085	0.0012447401629641676
LTR/Gypsy	343	73622	0.00285617142832314
LTR/unknown	655	343809	0.013338097886506077
Low_complexity	1800	88530	0.003434528490796876
MITE/DTC	1	451	1.7496581377492274e-5
MITE/DTM	7	687	2.6652220413164505e-5
Simple_repeat	10307	384589	0.014920161275805711
TIR/Tc1_Mariner	18	7957	3.086924568086608e-4
Unknown	2996	675265	0.02619696014162377
