class	n	total	percentage
DNA/DTA	10	3995	1.6027725437480677e-4
DNA/DTC	29	16085	6.453215611060744e-4
DNA/DTH	502	73591	0.002952431395919
DNA/DTM	2	1853	7.434136479512314e-5
DNA/Helitron	20	16223	6.508580469893593e-4
LINE/unknown	87	35647	0.0014301384947931757
LTR/Gypsy	462	101498	0.0040720452476931505
LTR/unknown	624	299675	0.012022800051256626
Low_complexity	1836	91050	0.00365287709908039
MITE/DTC	1	451	1.809387777798194e-5
MITE/DTM	21	3347	1.3427984240112098e-4
Simple_repeat	10465	390790	0.015678284915426968
TIR/PiggyBac	45	11488	4.608923900520101e-4
Unknown	3381	719114	0.02885046745994613
