class	n	total	percentage
DNA/DTA	10	3993	1.7251518191926834e-4
DNA/DTC	106	49429	0.0021355504450507176
DNA/DTH	22	4491	1.9403097470559332e-4
DNA/DTM	13	8476	3.6620052139937854e-4
DNA/Helitron	320	73183	0.0031618278383165077
LINE/unknown	77	40495	0.0017495623069924296
LTR/Gypsy	469	122058	0.005273443044002518
LTR/unknown	407	266324	0.011506369473946211
Low_complexity	1651	81985	0.0035421129951543236
MITE/DTC	1	451	1.9485185836611576e-5
MITE/DTM	2	500	2.160220159269576e-5
Simple_repeat	9602	355271	0.01534927152407723
Unknown	3576	677256	0.02926044128372552
