class	n	total	percentage
DNA/DTA	10	3995	1.50614174064292e-4
DNA/DTC	29	16085	6.064152665392083e-4
DNA/DTH	502	73591	0.0027744299583392523
DNA/DTM	2	1853	6.985934031067161e-5
DNA/Helitron	20	16223	6.116179589098897e-4
LINE/unknown	87	35647	0.0013439157604179768
LTR/Gypsy	462	101498	0.003826542537966836
LTR/unknown	624	299675	0.01129794808828954
Low_complexity	1836	91050	0.0034326459445691584
MITE/DTC	1	451	1.7003001878096545e-5
MITE/DTM	21	3347	1.2618414032370095e-4
Simple_repeat	10465	390790	0.014733044576366627
TIR/PiggyBac	45	11488	4.331052895245523e-4
Unknown	3381	719114	0.0271110791409435
