class	n	total	percentage
DNA/DTA	6	3634	1.3145976043502544e-4
DNA/DTC	61	25031	9.05495119276038e-4
DNA/DTH	124	22401	8.103550064680806e-4
DNA/DTM	3	3570	1.2914456377353904e-4
DNA/Helitron	140	21186	7.664024448476746e-4
LINE/unknown	405	186662	0.0067524881129121415
LTR/Copia	206	101783	0.00368199471556362
LTR/Gypsy	464	125678	0.004546395094098274
LTR/unknown	538	243621	0.008812976966687215
Low_complexity	1867	96351	0.0034854923989199606
MITE/DTC	83	7801	2.8220076806649243e-4
MITE/DTH	21	3469	1.254908940421308e-4
MITE/DTM	9	1455	5.26345491009802e-5
Simple_repeat	10072	384098	0.013894725113806386
TIR/Tc1_Mariner	131	49003	0.001772680968794043
Unknown	4916	1214494	0.043934257096801266
