class	n	total	percentage
DNA/DTC	87	100140	0.003543550999037926
DNA/DTH	25	4806	1.7006497005568478e-4
DNA/DTM	32	9194	3.253386048048202e-4
DNA/DTT	5	2946	1.042470665385034e-4
DNA/Helitron	78	70832	0.002506459001037092
LINE/unknown	566	759970	0.026892275341909855
LTR/Gypsy	1409	1970368	0.06972338221362454
LTR/unknown	1429	915976	0.03241269892045899
Low_complexity	1837	88914	0.003146308103939067
MITE/DTC	15	4491	1.589183896213234e-4
MITE/DTM	1	263	9.306510013450914e-6
Simple_repeat	10850	413465	0.014630859934264192
Unknown	2565	850745	0.030104436735335735
