score	div.	del.	ins.	query	beginq	endq	leftq	strand	family	class	beginr	endr	leftr	ID	overlap	length
3974	7.9	0	0	scaffold_1	6	525	(4314776)	C	TE_00000030	Unknown	(1472)	578	59	1	NA	520
507	19.4	1.1	0	scaffold_1	520	612	(4314689)	+	TE_00000089_INT	LTR/Gypsy	273	366	(4670)	2	*	93
312	14.9	0	0	scaffold_1	611	657	(4314644)	+	TE_00000030	Unknown	1	47	(2003)	3	*	47
7545	13.4	0.1	0	scaffold_1	758	1907	(4313394)	+	TE_00000089_INT	LTR/Gypsy	1331	2481	(0)	2	NA	1150
873	19.9	0	0	scaffold_1	1908	2057	(4313244)	+	TE_00000089_INT	LTR/Gypsy	3457	3606	(53)	2	NA	150
1305	30.1	0.8	0.8	scaffold_1	2067	2464	(4312837)	+	TE_00000103_LTR	LTR/Gypsy	1	398	(38)	4	NA	398
5742	14.8	0.9	0	scaffold_1	2602	3507	(4311794)	+	TE_00000086_INT	LTR/Gypsy	1	914	(4122)	6	NA	906
962	7.4	0	3.4	scaffold_1	3513	3665	(4311636)	C	TE_00000009	Unknown	(0)	159	12	7	NA	153
9757	15.5	0.5	0.1	scaffold_1	3766	5296	(4310005)	C	TE_00000086_INT	LTR/Gypsy	(3498)	1538	1	8	NA	1531
1910	19.6	0.6	0.6	scaffold_1	5430	5829	(4309472)	C	TE_00000103_LTR	LTR/Gypsy	(63)	373	1	10	NA	400
3544	12.9	0.2	0.2	scaffold_1	5830	6386	(4308915)	+	TE_00000086_INT	LTR/Gypsy	1916	2472	(9)	6	NA	557
996	0.8	0	0	scaffold_1	6386	6510	(4308791)	C	TE_00000006	Unknown	(0)	129	5	11	*	125
1152	12.2	14.8	0.4	scaffold_1	7752	7972	(4307329)	C	TE_00000001	DNA/DTA	(0)	1860	1608	12	NA	221
1502	7.4	0.8	7.3	scaffold_1	7973	8220	(4307081)	+	TE_00000105_LTR	LTR/unknown	1	233	(0)	13	NA	248
1043	5.3	0	0	scaffold_1	8673	8803	(4306498)	C	TE_00000034	LTR/unknown	(0)	1031	901	14	NA	131
3169	7.5	0	0.9	scaffold_1	9226	9657	(4305644)	C	TE_00000034	LTR/unknown	(0)	1031	604	15	NA	432
1787	20.6	0.8	0.7	scaffold_1	10109	10509	(4304792)	+	TE_00000103_LTR	LTR/Gypsy	1	373	(63)	16	NA	401
3913	17.8	0	0	scaffold_1	10643	11287	(4304014)	+	TE_00000086_INT	LTR/Gypsy	1	645	(4391)	18	NA	645
1449	2.2	0	0	scaffold_1	11388	11620	(4303681)	+	TE_00000037	LINE/unknown	1	185	(78)	19	NA	233
1557	7.1	0	1.3	scaffold_1	11639	11880	(4303421)	C	TE_00000087_LTR	LTR/Gypsy	(0)	245	7	20	NA	242
13234	13.3	0.2	1.1	scaffold_1	11881	13958	(4301343)	C	TE_00000094_INT	LTR/Gypsy	(1)	6795	4736	20	NA	2078
694	10.6	0	1.8	scaffold_1	13941	14055	(4301246)	+	TE_00000094_INT	LTR/Gypsy	4911	5023	(1773)	21	*	115
