class	n	total	percentage
DNA/DTC	9	4065	1.7191026816859996e-4
DNA/DTH	47	11325	4.789382009863209e-4
DNA/DTM	348	115901	0.0049014937247254375
DNA/Helitron	281	111450	0.004713259381891873
LINE/unknown	715	711881	0.03010569584603471
LTR/Copia	39	48539	0.0020527312439448148
LTR/Gypsy	858	1166399	0.0493274206350767
LTR/unknown	653	524343	0.02217464839909673
Low_complexity	1594	78637	0.003325586164323295
MITE/DTM	1	263	1.1122361753589615e-5
Simple_repeat	9804	376158	0.015907853051356512
TIR/Tc1_Mariner	43	10931	4.6227580353037294e-4
Unknown	1951	783746	0.03314489176779029
