class	n	total	percentage
DNA/DTA	58	11378	3.8387688732862476e-4
DNA/DTC	54	37190	0.001254735580923849
DNA/DTH	27	4881	1.6467771902364364e-4
DNA/DTM	730	454513	0.015334596211143895
DNA/DTT	18	7091	2.3923984953834403e-4
DNA/Helitron	1404	853515	0.028796333405545015
LTR/Copia	83	68819	0.002321851248819531
LTR/Gypsy	953	1029127	0.03472122248425432
LTR/unknown	1746	2024124	0.06829094926060514
Low_complexity	1888	93782	0.0031640659384296966
MITE/DTC	1	413	1.3934009005688348e-5
MITE/DTM	1	262	8.839492395860404e-6
Simple_repeat	10758	404624	0.013651415157185574
TIR/Tc1_Mariner	19	7456	2.5155440955547777e-4
Unknown	2532	1382087	0.04662957071342565
