class	n	total	percentage
DNA/DTA	539	186794	0.009232142767120219
DNA/DTC	132	30442	0.0015045712930644116
DNA/DTH	26	5181	2.560667455938085e-4
DNA/DTM	164	92892	0.004591112165933228
DNA/DTT	5	2940	1.4530712836243907e-4
DNA/Helitron	377	233929	0.011561752119284698
LINE/unknown	512	619881	0.030637118379740508
LTR/Copia	30	32560	0.0016092517345173525
LTR/Gypsy	158	402327	0.01988468742607994
LTR/unknown	858	777637	0.03843408142121838
Low_complexity	1415	68919	0.003406265979459503
MITE/DTC	10	3490	1.7249043468874572e-4
MITE/DTM	2	376	1.8583496688529625e-5
Simple_repeat	8627	327025	0.01616294682065532
Unknown	1803	625744	0.030926892425178938
