class	n	total	percentage
DNA/DTC	643	163841	0.005536850737330383
DNA/DTH	26	5005	1.6913921387405208e-4
DNA/DTM	1	2044	6.907503559611637e-5
DNA/DTT	144	14202	4.7994308000784967e-4
DNA/Helitron	188	157294	0.005315601100320709
LINE/unknown	410	522998	0.017674219895644654
LTR/Copia	3	7434	2.5122495822971094e-4
LTR/Gypsy	1555	1555914	0.05258063352959678
LTR/unknown	1386	909946	0.030750759462105533
MITE/DTC	1	417	1.4092118318777166e-5
MITE/DTM	37	8445	2.853907414917822e-4
TIR/Tc1_Mariner	34	12849	4.342197320814576e-4
Unknown	2064	578670	0.01955560217632322
