class	n	total	percentage
DNA/DTC	673	581618	0.02063620486675069
DNA/DTM	110	21642	7.678729780134357e-4
DNA/Helitron	63	76485	0.002713740168346624
LINE/unknown	498	359375	0.012750871059679257
LTR/Copia	167	263747	0.009357924144354017
LTR/Gypsy	124	312862	0.01110055797279547
LTR/unknown	6119	4799395	0.170285820687219
Low_complexity	1763	88828	0.003151678259448178
MITE/DTC	28	4511	1.6005336862668e-4
MITE/DTM	24	3002	1.0651301543278506e-4
MITE/DTT	6	589	2.0898123281116054e-5
Simple_repeat	8181	333139	0.011819999816210054
TIR/Tc1_Mariner	25	13406	4.75654058924689e-4
Unknown	4287	1079258	0.03829281279478905
