class	n	total	percentage
DNA/DTA	10	4050	1.415682179141052e-4
DNA/DTC	59	41733	0.001458781836594902
DNA/DTH	133	28254	9.876218343074393e-4
DNA/DTM	6	6918	2.418194892666123e-4
DNA/Helitron	525	150346	0.005255361800126929
LINE/unknown	334	182435	0.0063770365025085885
LTR/Gypsy	394	105966	0.0037040537727126106
LTR/unknown	721	350040	0.012235688641642812
Low_complexity	1895	96093	0.003358941917042003
MITE/DTC	1	451	1.576475710599048e-5
MITE/DTM	9	1335	4.66650792383532e-5
Simple_repeat	10497	401388	0.01403056391410046
TIR/Tc1_Mariner	63	20541	7.18013028191021e-4
Unknown	5469	1301488	0.045493663406566166
