class	n	total	percentage
DNA/DTA	3	859	1.436513703320621e-5
DNA/DTC	8164	2152644	0.03599886617428306
DNA/DTH	1276	779793	0.013040550992473771
DNA/DTM	12516	7616129	0.12736523486330126
DNA/Helitron	129	217979	0.003645283126148145
LINE/unknown	2948	1257062	0.021021964946724404
LTR/Copia	57	7200	1.2040627082547697e-4
LTR/Gypsy	4901	840090	0.014048903341357631
LTR/unknown	16590	9621164	0.1608956219778235
Low_complexity	2114	108387	0.0018125658994390238
MITE/DTC	3329	1289971	0.021572305219862687
MITE/DTM	183	44298	7.407995812537471e-4
Simple_repeat	11060	430918	0.007206281862718456
TIR/Tc1_Mariner	217	80271	0.0013423794118655363
Unknown	12026	4431276	0.07410464141089393
