class	n	total	percentage
DNA/DTC	66	18409	6.498103781378219e-4
DNA/DTH	21	8688	3.0667350563644936e-4
DNA/DTM	426	78535	0.002772168941661896
DNA/DTT	2	798	2.8168215642021938e-5
DNA/Helitron	252	64284	0.002269129792395662
LINE/unknown	28	28552	0.0010078432243245743
LTR/Copia	34	5578	1.968951213674165e-4
LTR/Gypsy	46	12033	4.247470411283834e-4
LTR/TRIM	1	80	2.8238812673706202e-6
LTR/unknown	171	69642	0.0024582592402778093
Low_complexity	1878	93191	0.003289503989844193
MITE/DTM	159	14857	5.244300498665663e-4
Simple_repeat	9776	365955	0.012917668365007691
TIR/Tc1_Mariner	26	5735	2.0243698835463133e-4
Unknown	5721	851729	0.03006476959970389
