class	n	total	percentage
DNA/DTA	19	17236	7.288092864747356e-4
DNA/DTC	153	47104	0.0019917517190824988
DNA/DTM	218	49002	0.002072007000222499
DNA/Helitron	35	32071	0.0013560943737834328
LINE/unknown	20	12191	5.154858442453877e-4
LTR/Gypsy	368	629416	0.026614308763969724
LTR/unknown	785	323250	0.01366834543124613
Low_complexity	1769	88485	0.0037415113549383256
MITE/DTC	8	2779	1.1750760078401544e-4
MITE/DTM	16	7248	3.064753834050176e-4
Simple_repeat	8590	339264	0.01434548350931566
Unknown	2269	1331995	0.05632225142364327
