class	n	total	percentage
DNA/DTC	170	66333	0.0019924321041056813
DNA/DTH	18	19979	6.001055433634451e-4
DNA/DTM	500	89340	0.0026834891257865854
DNA/Helitron	50	51379	0.0015432615602617972
LINE/unknown	1306	526900	0.015826398258080947
LTR/Copia	208	286821	0.0086151895516816
LTR/Gypsy	1024	2045169	0.06143036458356643
LTR/unknown	5946	5055942	0.15186439867481172
Low_complexity	1924	99460	0.0029874617019334426
MITE/DTC	31	3470	1.0422775091201535e-4
MITE/DTM	2	1062	3.189909840592516e-5
MITE/DTT	5	721	2.1656544209672353e-5
Simple_repeat	8708	365231	0.01097037628050325
TIR/PiggyBac	57	14211	4.268531896860663e-4
Unknown	4304	1616876	0.048565806623520384
