class	n	total	percentage
DNA/DTC	63	18219	6.405454850051568e-4
DNA/DTM	257	43956	0.0015454095910251207
DNA/DTT	2	798	2.805616647643203e-5
DNA/Helitron	493	87144	0.003063817758674427
LTR/Copia	36	6176	2.1713644631383985e-4
LTR/Gypsy	42	12321	4.3318299142370805e-4
LTR/TRIM	1	80	2.812648268313988e-6
LTR/unknown	210	62157	0.002185322230169907
Low_complexity	1880	93550	0.0032890405687596696
MITE/DTM	1	426	1.4977352028771985e-5
Simple_repeat	9816	367671	0.012926615018240903
TIR/Tc1_Mariner	40	11580	4.0713083683844973e-4
Unknown	6525	923917	0.032483169376448184
