class	n	total	percentage
DNA/DTA	10	3992	1.389030099989986e-4
DNA/DTC	75	47413	0.0016497516064835971
DNA/DTH	103	27421	9.541231055066484e-4
DNA/DTM	9	11488	3.997289025221683e-4
DNA/Helitron	500	139992	0.004871069683311576
LINE/unknown	214	142838	0.0049700972300192785
LTR/Gypsy	393	106450	0.0037039642821626753
LTR/unknown	1133	474252	0.01650176109670468
Low_complexity	1927	98501	0.003427376099176192
MITE/DTC	1	451	1.5692699776940975e-5
MITE/DTH	25	4236	1.4739307373641232e-4
MITE/DTM	25	3507	1.2202726855372947e-4
Simple_repeat	10525	401748	0.013978959534338097
TIR/Tc1_Mariner	25	7102	2.4711652730783766e-4
Unknown	5618	1420282	0.04941919961107157
