class	n	total	percentage
DNA/DTC	56	35994	0.0012490320990214492
DNA/DTH	51	12281	4.26164449855043e-4
DNA/DTM	11	4478	1.5539161358609906e-4
DNA/Helitron	21	9381	3.2553120300383997e-4
LINE/unknown	374	155998	0.00541330525596344
LTR/Gypsy	502	123537	0.004286872212502439
LTR/unknown	692	296924	0.010303595237257454
Low_complexity	1817	93040	0.003228592167943425
MITE/DTC	1	401	1.3915148961149112e-5
MITE/DTH	25	3921	1.360630899667473e-4
MITE/DTM	2	264	9.161095575419865e-6
Simple_repeat	10293	395938	0.013739491893714357
TIR/Tc1_Mariner	25	7323	2.5411629885908963e-4
Unknown	6318	1445640	0.05016532654412868
