class	n	total	percentage
DNA/DTA	11	4132	1.419061206527599e-4
DNA/DTC	347	98034	0.003366801701856889
DNA/DTH	23	6362	2.1849146650359597e-4
DNA/DTM	14	6220	2.13614731476323e-4
DNA/Helitron	58	24900	8.551457899936404e-4
LINE/unknown	385	196584	0.006751324497193165
LTR/Copia	29	4181	1.4358893766921327e-4
LTR/Gypsy	101	18393	6.316745588495191e-4
LTR/TRIM	1	79	2.7131131489758067e-6
LTR/unknown	708	275954	0.009477144631803415
Low_complexity	1805	92555	0.0031786352848538705
MITE/DTC	2	852	2.9260410163637813e-5
MITE/DTM	8	964	3.3106849058388326e-5
Simple_repeat	10249	392768	0.013488911712619362
TIR/Tc1_Mariner	23	4079	1.400859308186369e-4
Unknown	6692	1484554	0.05098434149069152
