class	n	total	percentage
DNA/DTC	10	8138	2.846703611315329e-4
DNA/DTM	607	92611	0.0032395682986916183
DNA/DTT	1	738	2.5815523041910943e-5
DNA/Helitron	322	64600	0.002259732775755348
LTR/Copia	30	5472	1.9141265865221772e-4
LTR/Gypsy	44	12087	4.2280789567422433e-4
LTR/TRIM	1	80	2.7984306820499668e-6
LTR/unknown	196	80621	0.0028201535002193795
Low_complexity	1887	93225	0.003261046254176352
MITE/DTH	1	224	7.835605909739906e-6
MITE/DTM	16	2494	8.72410765129077e-5
Simple_repeat	9841	366840	0.012832203892540122
TIR/Tc1_Mariner	32	8229	2.878535760323647e-4
Unknown	6579	925317	0.03236794354278036
