class	n	total	percentage
DNA/DTA	10	3986	1.3636948974546598e-4
DNA/DTC	34	21797	7.45721467130437e-4
DNA/DTH	353	81644	0.0027932139038582098
DNA/DTM	14	11662	3.9898168324426094e-4
DNA/Helitron	46	17163	5.871825269697522e-4
LINE/unknown	114	83374	0.00285240086252847
LTR/Copia	135	41821	0.001430784854652567
LTR/Gypsy	475	128073	0.004381648183685666
LTR/unknown	516	323667	0.011073332573368223
Low_complexity	1927	97252	0.0033271965922544045
MITE/DTC	1	451	1.5429663792073544e-5
MITE/DTH	77	12284	4.202616186736839e-4
MITE/DTM	32	5066	1.7331857377083057e-4
Simple_repeat	10354	396811	0.013575743501100877
TIR/PiggyBac	185	94636	0.00323769769983741
TIR/Tc1_Mariner	96	44943	0.0015375950771777413
Unknown	6272	1474215	0.050436012876345235
