class	n	total	percentage
DNA/DTC	10	8138	2.847462703592009e-4
DNA/DTM	268	45454	0.0015904223363120075
DNA/DTT	1	738	2.582240692124481e-5
DNA/Helitron	402	68794	0.002407082197479831
LTR/Copia	38	6596	2.307921355725349e-4
LTR/Gypsy	51	12027	4.208212575092294e-4
LTR/TRIM	1	80	2.7991769020319574e-6
LTR/unknown	189	78701	0.0027537252670852136
Low_complexity	1914	95364	0.003336758826067195
MITE/DTH	1	224	7.837695325689482e-6
MITE/DTM	15	2234	7.816701498924242e-5
Simple_repeat	9768	365033	0.012772399275992894
TIR/Tc1_Mariner	31	8100	2.834166613307357e-4
Unknown	6401	895057	0.031317786005025224
