class	n	total	percentage
DNA/DTA	41	11474	4.054655942265431e-4
DNA/DTC	574	322967	0.011412934161631859
DNA/DTH	34	31225	0.0011034219260697062
DNA/DTM	137	59224	0.0020928442001457897
DNA/DTT	17	2403	8.491666575966385e-5
DNA/Helitron	3592	1122622	0.03967096011171259
LINE/unknown	433	272683	0.009636009641840373
LTR/Copia	180	24740	8.74256475611354e-4
LTR/Gypsy	687	1427857	0.050457284902869895
LTR/unknown	5426	5678559	0.20066762238848565
Low_complexity	2073	121054	0.00427777863373714
MITE/DTC	36	3975	1.4046764311055507e-4
MITE/DTM	2	752	2.65740044324874e-5
MITE/DTT	1	256	9.046469594038264e-6
Simple_repeat	9169	368791	0.013032252218964709
Unknown	4930	1624826	0.05741773048672975
