class	n	total	percentage
DNA/DTA	11	3852	1.3451629918841484e-4
DNA/DTC	96	47668	0.001664621741877819
DNA/DTH	23	6179	2.157778329920081e-4
DNA/DTM	217	36907	0.0012888351646279403
DNA/Helitron	441	114293	0.003991243868936007
LINE/unknown	270	139839	0.004883339761736434
LTR/Gypsy	455	117833	0.004114864766944051
LTR/unknown	424	283721	0.009907865763768496
Low_complexity	1874	94052	0.0032844047173594994
MITE/DTC	1	451	1.5749442090855424e-5
MITE/DTM	8	947	3.307033627503345e-5
Simple_repeat	10020	387191	0.013521157943681602
TIR/Tc1_Mariner	20	3768	1.3158292194754596e-4
Unknown	5527	1242208	0.043379341376490764
