class	n	total	percentage
DNA/DTC	10	8138	2.842911829210098e-4
DNA/DTM	287	50668	0.0017700252711036772
DNA/DTT	1	738	2.578113701102301e-5
DNA/Helitron	485	85218	0.002976987715183413
LTR/Copia	34	5427	1.8958567826398627e-4
LTR/Gypsy	46	11749	4.104370985670858e-4
LTR/TRIM	1	80	2.7947031990268844e-6
LTR/unknown	262	85181	0.002975695164953863
Low_complexity	1901	94881	0.0033145529278358725
MITE/DTH	1	224	7.825168957275276e-6
MITE/DTM	15	2234	7.804208683282574e-5
Simple_repeat	9776	364380	0.012729174395767701
TIR/Tc1_Mariner	37	12203	4.2629703922156335e-4
Unknown	6307	916417	0.03201391901928275
