class	n	total	percentage
DNA/DTA	28	5928	3.4626253171882783e-4
DNA/DTC	53	10368	6.056089623584357e-4
DNA/DTH	33	5409	3.159470367859547e-4
DNA/DTM	699	167952	0.009810304441167438
LTR/Copia	5	256	1.4953307712553969e-5
LTR/Copia_1	1	70	4.0887950776514754e-6
LTR/Gypsy	38	3538	2.06659385496156e-4
LTR/Gypsy_1	4	431	2.5175295406682655e-5
LTR/Gypsy_3	2	277	1.617994623584941e-5
LTR/unknown	561	147069	0.008590500046787498
Low_complexity	1577	79881	0.004665957708541108
MITE/DTA	1	323	1.886686871544895e-5
MITE/DTM	349	42639	0.002490601904514018
Simple_repeat	6849	281020	0.01641475989602311
Unknown	2673	544518	0.0318060359727518
