class	n	total	percentage
DNA/DTA	9	3706	1.2926249711287015e-4
DNA/DTC	42	41798	0.0014578828532983666
DNA/DTH	185	41495	0.001447314440825296
DNA/DTM	5	6887	2.4021338845556846e-4
DNA/DTT	48	8963	3.126227095581908e-4
DNA/Helitron	489	134955	0.004707129060406744
LINE/unknown	296	134596	0.004694607409984855
LTR/Gypsy	444	115807	0.004039261198907219
LTR/unknown	428	213941	0.0074621014287168256
Low_complexity	1858	93680	0.0032674880543803768
MITE/DTC	1	451	1.573054133780476e-5
MITE/DTM	32	4498	1.5688686238901511e-4
Simple_repeat	10418	400179	0.01395794302000304
TIR/PiggyBac	51	4667	1.6278145548455613e-4
TIR/Tc1_Mariner	34	8781	3.0627468622453123e-4
Unknown	5311	1199007	0.04182046380890748
