class	n	total	percentage
DNA/DTA	11	4252	1.4933738384645756e-4
DNA/DTC	75	47507	0.0016685256571951222
DNA/DTH	346	83893	0.002946463109837927
DNA/DTM	51	17917	6.292751426098261e-4
DNA/Helitron	484	127117	0.004464562611103045
LINE/unknown	233	127787	0.004488094136779698
LTR/Gypsy	378	104116	0.003656728846791575
LTR/unknown	1014	428268	0.015041491699236756
Low_complexity	1863	95682	0.003360512596706668
MITE/DTC	1	451	1.583987773159745e-5
MITE/DTM	7	835	2.932660289552965e-5
Simple_repeat	10301	394474	0.013854589641450494
TIR/Tc1_Mariner	32	6950	2.4409567679512702e-4
Unknown	5833	1350218	0.04742192468071407
