class	n	total	percentage
DNA/DTA	10	3517	1.2462713294625097e-4
DNA/DTC	52	39163	0.0013877658252982733
DNA/DTH	99	20425	7.237728718871698e-4
DNA/DTM	6	7000	2.480494542575368e-4
DNA/DTT	7	2011	7.126106464455807e-5
DNA/Helitron	22	10394	3.683180039361196e-4
LINE/unknown	320	152736	0.005412297349354163
LTR/Copia	15	11199	3.9684369117573635e-4
LTR/Gypsy	442	111862	0.0039639011503080825
LTR/unknown	556	267106	0.009465071075559089
Low_complexity	1816	92653	0.0032832180121890792
MITE/DTC	1	451	1.598147198144987e-5
MITE/DTM	25	3446	1.2211120276735312e-4
Simple_repeat	9677	371557	0.013166358725081085
TIR/Tc1_Mariner	34	8512	0.00030162813637716474
Unknown	5441	1281651	0.04541611872837518
