class	n	total	percentage
DNA/DTC	11	8217	2.8794217187663165e-4
DNA/DTM	540	115355	0.004042298799662753
DNA/DTT	1	738	2.5861180825721572e-5
DNA/Helitron	504	105187	0.003685989197175034
LTR/Copia	26	5107	1.7896077300401093e-4
LTR/Gypsy	46	11706	4.1020458366652674e-4
LTR/TRIM	1	80	2.8033800353085714e-6
LTR/unknown	86	22225	7.788140160591625e-4
Low_complexity	1883	93477	0.0032756444445067416
MITE/DTM	15	2248	7.877497899217086e-5
Simple_repeat	9898	368268	0.012904939485537713
TIR/Tc1_Mariner	20	4946	1.7331897068295244e-4
Unknown	6233	944801	0.03310795325924467
