class	n	total	percentage
DNA/DTA	9	3639	1.2699316718132228e-4
DNA/DTC	79	47688	0.0016642072427982678
DNA/DTH	112	35440	0.0012367787427606653
DNA/DTM	6	6920	2.4149291478283872e-4
DNA/Helitron	489	129691	0.004525933180794962
LINE/unknown	262	134241	0.004684718262046684
LTR/Copia	14	14398	5.02458813156548e-4
LTR/Gypsy	384	104520	0.003647520152182414
LTR/unknown	758	384242	0.013409208173697618
Low_complexity	1903	96582	0.0033705012565832556
MITE/DTC	1	451	1.5738916844950906e-5
MITE/DTM	4	613	2.1392363693913315e-5
Simple_repeat	10372	396061	0.013821665508931486
TIR/Tc1_Mariner	36	9830	3.4304557114383014e-4
Unknown	5913	1363460	0.0475817817326314
