class	n	total	percentage
DNA/DTA	10	4058	1.3842142946561756e-4
DNA/DTC	98	47608	0.0016239446559879547
DNA/DTH	342	78609	0.0026814120623121565
DNA/DTM	4	6221	2.1220298489541814e-4
DNA/Helitron	14	8675	2.9591076900301435e-4
LINE/unknown	104	52713	0.0017980800422427547
LTR/Copia	15	14447	4.92798026488363e-4
LTR/Gypsy	478	126878	0.00432790392502184
LTR/unknown	587	337343	0.011507023233173933
Low_complexity	1844	93307	0.0031827718874195116
MITE/DTC	1	451	1.5383948913009738e-5
MITE/DTH	51	8212	2.801174910723636e-4
MITE/DTM	32	5063	1.727027346930561e-4
Simple_repeat	10276	395351	0.013485719704450805
TIR/Tc1_Mariner	39	9915	3.382081008259236e-4
Unknown	6213	1601430	0.054625980726743205
